id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in
57,33,40,0.4375,0.0,0.5625
58,33,80,0.125,0.8125,0.0625
59,167,30,0.5,0.5,0.0
60,206,80,0.65625,0.34375,0.0
61,206,80,0.09375,0.6875,0.21875
62,33,80,0.65625,0.15625,0.1875
63,227,40,0.125,0.3125,0.5625
64,227,40,0.625,0.25,0.125
65,33,80,0.1875,0.8125,0.0
66,12,80,0.21875,0.53125,0.25
67,33,80,0.4375,0.125,0.4375
68,33,80,0.3125,0.28125,0.40625
69,194,80,0.4375,0.5625,0.0
70,227,40,0.6875,0.1875,0.125
71,227,40,0.5,0.375,0.125
72,33,80,0.625,0.28125,0.09375
73,33,80,0.125,0.21875,0.65625
74,167,30,0.6666666666666666,0.3333333333333333,0.0
75,206,80,0.46875,0.21875,0.3125
76,33,80,0.0625,0.75,0.1875
77,194,80,0.875,0.09375,0.03125
78,12,80,0.0,0.40625,0.59375
79,194,80,0.3125,0.65625,0.03125
80,12,80,0.3125,0.375,0.3125
81,33,80,0.5,0.15625,0.34375
82,12,20,0.375,0.625,0.0
83,194,80,0.21875,0.34375,0.4375
84,206,80,0.0,0.59375,0.40625
85,227,40,0.875,0.0,0.125
86,206,80,0.5625,0.4375,0.0
87,12,80,0.34375,0.34375,0.3125
88,167,30,0.4166666666666667,0.5833333333333334,0.0
89,227,40,0.5,0.5,0.0
90,194,80,0.28125,0.5,0.21875
91,33,80,0.375,0.4375,0.1875
92,167,30,0.0,0.08333333333333333,0.9166666666666666
93,227,40,0.4375,0.1875,0.375
94,194,80,0.71875,0.28125,0.0
95,206,80,0.46875,0.34375,0.1875
96,167,30,0.5833333333333334,0.3333333333333333,0.08333333333333333
97,206,80,0.0,0.0,1.0
98,12,20,0.375,0.625,0.0
99,33,40,0.0,0.0625,0.9375
100,206,80,0.46875,0.53125,0.0
101,206,80,0.03125,0.03125,0.9375
102,206,80,0.0,0.90625,0.09375
103,206,80,0.625,0.375,0.0
104,167,60,0.7083333333333334,0.041666666666666664,0.25
105,12,80,0.6875,0.3125,0.0
106,33,40,0.5,0.5,0.0
107,33,40,0.6875,0.3125,0.0
108,33,80,0.46875,0.03125,0.5
109,33,40,0.5625,0.0625,0.375
110,206,80,0.5,0.0,0.5
111,12,80,0.4375,0.25,0.3125
112,206,80,0.15625,0.0,0.84375
113,33,40,0.0625,0.9375,0.0
114,33,80,0.5625,0.1875,0.25
115,167,60,0.8333333333333334,0.125,0.041666666666666664
116,33,80,0.0,0.8125,0.1875
117,194,80,0.34375,0.3125,0.34375
118,227,40,0.5,0.25,0.25
119,12,80,0.40625,0.28125,0.3125
120,33,40,0.375,0.1875,0.4375
121,227,40,0.5,0.1875,0.3125
122,206,80,0.59375,0.0,0.40625
123,167,60,0.6666666666666666,0.16666666666666666,0.16666666666666666
124,167,30,0.16666666666666666,0.16666666666666666,0.6666666666666666
125,206,80,0.375,0.375,0.25
127,206,80,0.0,0.21875,0.78125
128,206,80,0.4375,0.0,0.5625
129,194,80,0.625,0.0,0.375
130,33,80,0.625,0.125,0.25
131,167,30,0.5,0.08333333333333333,0.4166666666666667
132,206,80,0.40625,0.09375,0.5
133,12,20,0.25,0.5,0.25
134,194,80,0.3125,0.21875,0.46875
135,167,30,0.25,0.3333333333333333,0.4166666666666667
136,206,80,0.5625,0.40625,0.03125
137,12,20,0.625,0.375,0.0
138,206,80,1.0,0.0,0.0
139,12,80,0.46875,0.3125,0.21875
140,227,40,0.8125,0.0,0.1875
141,167,60,0.5833333333333334,0.08333333333333333,0.3333333333333333
142,167,30,0.08333333333333333,0.25,0.6666666666666666
143,12,20,0.375,0.0,0.625
144,33,40,0.25,0.0,0.75
145,33,80,0.21875,0.21875,0.5625
146,206,80,0.0625,0.0625,0.875
147,206,80,0.5625,0.4375,0.0
148,167,30,0.4166666666666667,0.3333333333333333,0.25
149,206,80,0.3125,0.6875,0.0
150,206,80,0.0,0.28125,0.71875
151,12,20,0.5,0.0,0.5
152,33,80,0.40625,0.5,0.09375
153,227,40,0.3125,0.375,0.3125
154,167,30,0.8333333333333334,0.08333333333333333,0.08333333333333333
155,167,60,0.6666666666666666,0.08333333333333333,0.25
156,12,80,0.0,0.625,0.375
157,12,80,0.40625,0.34375,0.25
158,194,80,0.28125,0.34375,0.375
159,227,40,0.5625,0.25,0.1875
160,167,30,0.6666666666666666,0.3333333333333333,0.0
161,33,80,0.125,0.65625,0.21875
162,206,80,0.09375,0.125,0.78125
163,206,80,0.25,0.71875,0.03125
164,12,80,0.21875,0.78125,0.0
165,12,80,0.40625,0.25,0.34375
166,33,40,0.0,0.5,0.5
167,194,80,0.21875,0.59375,0.1875
168,227,40,0.6875,0.0,0.3125
169,167,30,0.4166666666666667,0.4166666666666667,0.16666666666666666
170,167,30,0.5,0.5,0.0
171,194,80,0.625,0.21875,0.15625
172,227,40,0.6875,0.25,0.0625
173,227,40,0.3125,0.0625,0.625
174,194,80,0.46875,0.03125,0.5
175,206,80,0.09375,0.0625,0.84375
176,167,30,0.6666666666666666,0.3333333333333333,0.0
177,206,80,0.8125,0.0,0.1875
178,206,80,0.0,0.5,0.5
179,194,80,0.46875,0.125,0.40625
180,167,30,0.4166666666666667,0.0,0.5833333333333334
181,227,40,0.4375,0.125,0.4375
182,12,80,0.34375,0.375,0.28125
183,33,80,0.40625,0.46875,0.125
184,12,20,0.25,0.75,0.0
185,194,80,0.46875,0.0,0.53125
186,206,80,0.0,0.3125,0.6875
187,167,30,0.08333333333333333,0.9166666666666666,0.0
188,206,80,0.40625,0.3125,0.28125
189,194,80,0.3125,0.1875,0.5
190,227,40,0.5625,0.125,0.3125
191,12,80,0.59375,0.40625,0.0
192,227,40,0.0,0.9375,0.0625
193,194,10,0.25,0.0,0.75
194,33,80,0.59375,0.375,0.03125
195,227,40,0.5625,0.125,0.3125
196,33,80,0.4375,0.03125,0.53125
197,33,80,0.4375,0.1875,0.375
198,206,80,0.5,0.25,0.25
199,206,80,0.5,0.3125,0.1875
200,206,80,0.0625,0.03125,0.90625
201,167,30,0.4166666666666667,0.3333333333333333,0.25
202,33,80,0.0625,0.21875,0.71875
203,206,80,0.0,0.09375,0.90625
204,194,80,0.03125,0.46875,0.5
205,33,80,0.40625,0.3125,0.28125
206,206,80,0.0,0.53125,0.46875
207,167,30,0.4166666666666667,0.5833333333333334,0.0
208,12,80,0.4375,0.25,0.3125
209,227,40,0.125,0.75,0.125
210,194,80,0.3125,0.4375,0.25
211,194,80,0.625,0.21875,0.15625
212,12,80,0.40625,0.3125,0.28125
213,12,80,0.0,0.46875,0.53125
214,227,40,0.1875,0.5,0.3125
215,194,80,0.6875,0.3125,0.0
216,206,80,0.34375,0.46875,0.1875
217,167,30,0.75,0.08333333333333333,0.16666666666666666
218,33,80,0.0625,0.8125,0.125
219,167,30,0.5,0.3333333333333333,0.16666666666666666
220,33,80,0.3125,0.3125,0.375
221,206,80,0.0,0.40625,0.59375
222,227,40,0.375,0.1875,0.4375
223,33,80,0.3125,0.28125,0.40625
224,206,80,0.875,0.0,0.125
225,33,80,0.1875,0.40625,0.40625
226,206,80,0.0,0.6875,0.3125
227,167,30,0.75,0.16666666666666666,0.08333333333333333
228,206,80,0.3125,0.375,0.3125
229,33,40,0.0,0.8125,0.1875
230,12,80,0.4375,0.28125,0.28125
231,227,40,0.375,0.375,0.25
232,227,40,0.375,0.5,0.125
233,206,80,0.4375,0.5625,0.0
234,33,80,0.75,0.09375,0.15625
235,194,80,0.1875,0.15625,0.65625
236,167,30,0.4166666666666667,0.08333333333333333,0.5
237,206,80,0.4375,0.1875,0.375
238,33,80,0.625,0.1875,0.1875
239,194,80,0.9375,0.0,0.0625
240,206,80,0.4375,0.28125,0.28125
241,227,40,0.0,0.75,0.25
242,167,30,0.0,0.0,1.0
243,12,20,0.75,0.0,0.25
244,167,30,0.25,0.75,0.0
245,12,20,0.25,0.0,0.75
246,12,80,0.34375,0.3125,0.34375
247,33,40,0.5625,0.0,0.4375
248,167,30,0.3333333333333333,0.6666666666666666,0.0
249,33,80,0.4375,0.1875,0.375
250,227,40,0.25,0.75,0.0
251,33,40,0.6875,0.3125,0.0
252,227,40,0.0625,0.625,0.3125
253,33,80,0.40625,0.15625,0.4375
254,12,20,0.625,0.375,0.0
255,194,80,0.3125,0.40625,0.28125
256,12,80,0.28125,0.25,0.46875
257,206,80,0.0,0.3125,0.6875
258,206,80,0.4375,0.0,0.5625
259,206,80,0.5,0.5,0.0
260,12,20,0.375,0.625,0.0
261,12,80,0.3125,0.4375,0.25
262,167,30,0.25,0.0,0.75
263,206,80,0.34375,0.65625,0.0
264,227,40,0.625,0.125,0.25
265,33,80,0.71875,0.21875,0.0625
266,227,40,0.8125,0.0,0.1875
267,12,80,0.40625,0.28125,0.3125
268,206,80,0.5,0.5,0.0
269,12,80,0.46875,0.25,0.28125
270,12,20,0.5,0.5,0.0
271,12,80,0.0,0.9375,0.0625
272,206,80,0.40625,0.21875,0.375
273,12,80,0.34375,0.3125,0.34375
274,227,40,0.8125,0.0,0.1875
275,206,80,0.3125,0.15625,0.53125
276,12,80,0.15625,0.34375,0.5
277,12,80,0.15625,0.8125,0.03125
278,33,80,0.125,0.21875,0.65625
279,194,80,0.65625,0.34375,0.0
280,227,40,0.5,0.375,0.125
281,194,80,0.6875,0.3125,0.0
282,33,80,0.5625,0.4375,0.0
283,206,80,0.46875,0.28125,0.25
284,167,30,0.4166666666666667,0.5833333333333334,0.0
285,206,80,0.40625,0.0,0.59375
286,227,40,0.125,0.5625,0.3125
287,167,30,0.3333333333333333,0.5,0.16666666666666666
288,227,40,0.5,0.1875,0.3125
289,227,40,0.0,0.875,0.125
290,194,80,0.59375,0.40625,0.0
291,194,80,0.125,0.46875,0.40625
292,206,80,0.0,0.5,0.5
293,194,80,0.0625,0.46875,0.46875
294,33,80,0.96875,0.03125,0.0
295,206,80,0.4375,0.34375,0.21875
296,227,40,0.0,0.1875,0.8125
297,206,80,0.0,0.59375,0.40625
298,227,40,0.625,0.0625,0.3125
299,227,40,0.625,0.25,0.125
300,206,80,0.03125,0.03125,0.9375
301,227,40,0.75,0.125,0.125
302,206,80,0.53125,0.46875,0.0
303,12,80,0.0,0.6875,0.3125
304,227,40,0.0,0.3125,0.6875
305,227,40,0.875,0.125,0.0
306,167,60,0.0,0.125,0.875
307,194,80,0.25,0.0625,0.6875
309,33,80,0.125,0.46875,0.40625
310,206,80,0.5,0.28125,0.21875
311,206,80,0.03125,0.03125,0.9375
312,12,80,0.125,0.625,0.25
313,33,80,0.71875,0.0625,0.21875
314,206,80,0.5625,0.4375,0.0
315,227,40,0.3125,0.6875,0.0
316,227,40,0.4375,0.25,0.3125
317,12,20,0.625,0.375,0.0
318,206,80,0.0625,0.0625,0.875
319,33,40,0.0,0.625,0.375
320,33,40,0.25,0.0,0.75
321,194,80,0.4375,0.40625,0.15625
322,227,40,0.6875,0.3125,0.0
323,33,80,0.65625,0.21875,0.125
324,206,80,0.34375,0.65625,0.0
325,12,80,0.3125,0.5625,0.125
326,33,80,0.9375,0.0,0.0625
327,227,40,0.5,0.375,0.125
328,12,80,0.25,0.5,0.25
329,206,80,0.28125,0.3125,0.40625
330,12,80,0.21875,0.46875,0.3125
331,33,80,0.25,0.75,0.0
332,206,80,0.0,0.40625,0.59375
333,194,80,0.3125,0.625,0.0625
334,33,80,0.125,0.0625,0.8125
335,227,40,0.0625,0.8125,0.125
336,194,80,0.4375,0.5625,0.0
337,194,80,0.40625,0.25,0.34375
338,194,80,0.375,0.21875,0.40625
339,194,80,0.4375,0.25,0.3125
340,227,40,0.8125,0.0,0.1875
341,206,80,0.0,0.5,0.5
342,167,30,0.4166666666666667,0.5833333333333334,0.0
343,12,20,0.75,0.25,0.0
344,206,80,0.28125,0.0,0.71875
345,33,80,0.5,0.21875,0.28125
346,12,80,0.40625,0.375,0.21875
347,12,80,0.375,0.3125,0.3125
348,12,80,0.3125,0.5,0.1875
349,206,80,0.34375,0.0625,0.59375
350,12,80,0.25,0.34375,0.40625
351,206,80,0.46875,0.53125,0.0
352,206,80,0.25,0.09375,0.65625
354,206,80,0.5,0.5,0.0
355,167,30,0.5833333333333334,0.0,0.4166666666666667
356,194,80,0.0,0.625,0.375
357,33,40,0.8125,0.0,0.1875
358,194,80,0.21875,0.5,0.28125
359,206,80,0.5625,0.4375,0.0
360,227,40,0.125,0.5625,0.3125
361,227,40,0.375,0.5,0.125
362,227,40,0.125,0.5625,0.3125
363,227,40,0.5625,0.4375,0.0
364,33,40,0.1875,0.8125,0.0
365,12,80,0.0,0.1875,0.8125
366,206,80,0.46875,0.40625,0.125
367,12,80,0.25,0.34375,0.40625
368,33,40,0.0,0.5625,0.4375
369,12,20,0.25,0.0,0.75
370,167,30,0.4166666666666667,0.5833333333333334,0.0
371,206,80,0.46875,0.1875,0.34375
372,33,80,0.1875,0.125,0.6875
373,33,40,0.0,1.0,0.0
374,33,40,0.25,0.75,0.0
375,206,80,0.5,0.3125,0.1875
376,33,80,0.34375,0.25,0.40625
377,206,80,0.40625,0.59375,0.0
378,194,80,0.8125,0.0,0.1875
379,194,80,0.0,0.65625,0.34375
380,206,80,0.8125,0.1875,0.0
381,33,40,0.375,0.625,0.0
382,194,80,0.4375,0.375,0.1875
383,194,80,0.9375,0.03125,0.03125
384,12,80,0.4375,0.125,0.4375
385,206,80,0.0,0.46875,0.53125
386,206,80,0.0,0.4375,0.5625
387,33,80,0.15625,0.34375,0.5
388,167,30,0.4166666666666667,0.5,0.08333333333333333
389,33,80,0.65625,0.125,0.21875
390,227,40,0.625,0.0,0.375
391,167,30,0.75,0.25,0.0
392,227,40,0.25,0.4375,0.3125
393,33,80,0.90625,0.09375,0.0
394,33,80,0.5625,0.0,0.4375
395,12,80,0.21875,0.0,0.78125
396,227,40,0.5625,0.375,0.0625
397,206,80,0.46875,0.3125,0.21875
398,194,80,0.5,0.5,0.0
399,227,40,0.5625,0.125,0.3125
400,167,30,0.5833333333333334,0.0,0.4166666666666667
401,227,40,0.125,0.75,0.125
402,167,30,0.9166666666666666,0.0,0.08333333333333333
403,206,80,0.5,0.5,0.0
404,194,80,0.75,0.0,0.25
405,227,40,0.875,0.0,0.125
406,33,80,0.15625,0.3125,0.53125
407,167,30,0.75,0.25,0.0
408,33,80,0.6875,0.125,0.1875
409,12,80,0.125,0.5,0.375
410,33,80,0.28125,0.0625,0.65625
411,33,80,0.25,0.25,0.5
412,12,80,0.1875,0.78125,0.03125
413,33,40,0.375,0.0,0.625
414,33,80,0.40625,0.125,0.46875
415,194,80,0.25,0.75,0.0
416,33,80,0.3125,0.0625,0.625
417,12,80,0.375,0.375,0.25
418,12,80,0.21875,0.5,0.28125
419,33,40,0.0625,0.0625,0.875
420,206,80,0.25,0.09375,0.65625
421,12,80,0.34375,0.28125,0.375
422,194,80,0.75,0.25,0.0
423,12,80,0.375,0.40625,0.21875
424,227,40,0.5625,0.125,0.3125
425,12,80,0.4375,0.28125,0.28125
426,206,80,0.0,0.5625,0.4375
427,227,40,0.1875,0.5,0.3125
428,12,80,0.28125,0.25,0.46875
429,206,80,0.03125,0.09375,0.875
430,167,30,0.5,0.5,0.0
431,33,80,0.90625,0.0625,0.03125
432,33,80,0.5625,0.28125,0.15625
433,227,40,0.5,0.125,0.375
434,206,80,0.0,0.34375,0.65625
435,167,60,0.3333333333333333,0.0,0.6666666666666666
436,194,80,0.4375,0.125,0.4375
437,33,80,0.0625,0.03125,0.90625
438,206,80,0.375,0.625,0.0
439,206,80,0.3125,0.3125,0.375
440,227,40,0.375,0.375,0.25
441,206,80,0.59375,0.21875,0.1875
442,33,40,0.0,0.5625,0.4375
443,206,80,0.0,0.40625,0.59375
444,33,80,0.5625,0.28125,0.15625
445,206,80,0.59375,0.40625,0.0
446,206,80,0.53125,0.0,0.46875
447,194,80,0.0,0.6875,0.3125
448,33,80,0.5,0.28125,0.21875
449,194,80,0.9375,0.0625,0.0
450,33,80,0.09375,0.65625,0.25
451,167,30,0.4166666666666667,0.0,0.5833333333333334
452,194,80,0.46875,0.1875,0.34375
453,206,80,0.1875,0.15625,0.65625
454,194,80,0.59375,0.40625,0.0
455,33,40,0.9375,0.0,0.0625
456,194,80,0.3125,0.34375,0.34375
457,167,60,0.6666666666666666,0.0,0.3333333333333333
458,167,30,0.3333333333333333,0.6666666666666666,0.0
459,227,40,0.375,0.25,0.375
460,33,80,0.1875,0.09375,0.71875
461,33,80,0.25,0.6875,0.0625
462,167,30,0.0,0.5,0.5
463,12,80,0.46875,0.28125,0.25
465,227,40,0.0,0.0625,0.9375
466,227,40,0.5625,0.125,0.3125
467,206,80,0.0,0.03125,0.96875
468,33,40,0.0,0.125,0.875
469,194,80,0.28125,0.15625,0.5625
470,206,80,0.40625,0.59375,0.0
471,12,80,0.0625,0.5,0.4375
472,206,80,0.59375,0.0,0.40625
473,206,80,0.46875,0.34375,0.1875
474,227,40,0.6875,0.0,0.3125
475,167,30,0.5,0.25,0.25
476,33,80,0.25,0.1875,0.5625
477,227,40,0.4375,0.375,0.1875
478,194,80,0.59375,0.40625,0.0
479,33,40,0.25,0.1875,0.5625
480,167,60,0.0,0.08333333333333333,0.9166666666666666
481,194,80,0.40625,0.59375,0.0
482,12,80,0.375,0.15625,0.46875
483,167,30,0.0,0.6666666666666666,0.3333333333333333
484,33,80,0.46875,0.46875,0.0625
485,206,80,0.375,0.28125,0.34375
486,227,40,0.4375,0.5625,0.0
487,12,80,0.25,0.375,0.375
488,206,80,0.0625,0.03125,0.90625
489,227,40,0.3125,0.625,0.0625
490,33,40,0.375,0.625,0.0
491,167,30,0.5833333333333334,0.0,0.4166666666666667
492,167,30,0.3333333333333333,0.6666666666666666,0.0
493,206,80,0.375,0.1875,0.4375
494,167,30,0.5,0.5,0.0
495,33,80,0.21875,0.15625,0.625
496,167,30,0.3333333333333333,0.4166666666666667,0.25
497,33,40,0.0,0.125,0.875
498,33,80,0.375,0.5,0.125
499,194,80,0.59375,0.0625,0.34375
500,12,80,0.46875,0.25,0.28125
501,206,80,0.46875,0.53125,0.0
502,227,40,0.0,0.125,0.875
503,167,30,0.5,0.5,0.0
504,167,30,0.75,0.25,0.0
505,12,80,0.0,0.84375,0.15625
506,33,80,0.03125,0.03125,0.9375
507,206,80,0.4375,0.40625,0.15625
508,167,30,0.5833333333333334,0.4166666666666667,0.0
509,33,80,0.59375,0.34375,0.0625
510,206,80,0.59375,0.40625,0.0
511,12,80,0.40625,0.3125,0.28125
512,167,30,0.4166666666666667,0.5833333333333334,0.0
513,227,40,0.8125,0.0,0.1875
514,194,80,0.3125,0.28125,0.40625
515,33,40,0.0,0.1875,0.8125
516,206,80,0.65625,0.09375,0.25
517,227,40,0.4375,0.125,0.4375
518,227,40,0.875,0.0,0.125
519,33,80,0.375,0.09375,0.53125
520,33,80,0.5,0.4375,0.0625
521,12,80,0.34375,0.34375,0.3125
522,194,80,0.375,0.4375,0.1875
523,227,40,0.75,0.0,0.25
524,12,80,0.375,0.1875,0.4375
525,206,80,0.4375,0.0,0.5625
526,167,60,0.0,0.5833333333333334,0.4166666666666667
527,227,40,0.1875,0.5625,0.25
528,167,30,0.5,0.5,0.0
529,206,80,0.28125,0.71875,0.0
530,167,30,0.9166666666666666,0.08333333333333333,0.0
532,167,30,0.3333333333333333,0.25,0.4166666666666667
533,12,80,0.21875,0.3125,0.46875
534,227,40,0.625,0.0625,0.3125
535,206,80,0.46875,0.28125,0.25
536,167,30,0.5,0.08333333333333333,0.4166666666666667
537,167,30,0.3333333333333333,0.08333333333333333,0.5833333333333334
538,12,20,0.75,0.25,0.0
539,227,40,0.6875,0.0,0.3125
540,206,80,0.375,0.625,0.0
541,227,40,0.5,0.3125,0.1875
542,33,80,0.09375,0.65625,0.25
543,227,40,0.8125,0.1875,0.0
544,206,80,0.46875,0.34375,0.1875
545,227,40,0.125,0.5625,0.3125
546,227,40,0.375,0.3125,0.3125
547,206,80,0.53125,0.46875,0.0
548,12,80,0.15625,0.15625,0.6875
549,167,30,0.5833333333333334,0.4166666666666667,0.0
550,33,80,0.40625,0.375,0.21875
551,194,80,0.21875,0.15625,0.625
552,33,40,0.1875,0.375,0.4375
553,12,80,0.03125,0.5,0.46875
554,227,40,0.375,0.0625,0.5625
555,33,80,0.1875,0.21875,0.59375
556,227,40,0.625,0.0625,0.3125
557,33,40,0.125,0.0,0.875
558,206,80,0.09375,0.0,0.90625
559,227,40,0.625,0.375,0.0
560,227,40,0.875,0.0,0.125
561,167,30,0.4166666666666667,0.5833333333333334,0.0
562,194,80,0.75,0.03125,0.21875
563,194,80,0.3125,0.6875,0.0
564,12,80,0.375,0.28125,0.34375
565,206,80,0.53125,0.25,0.21875
566,194,80,0.34375,0.65625,0.0
567,167,30,0.6666666666666666,0.0,0.3333333333333333
568,12,80,0.40625,0.0,0.59375
569,206,80,0.125,0.15625,0.71875
570,12,80,0.0,0.40625,0.59375
571,227,40,0.1875,0.5,0.3125
572,167,30,0.0,0.4166666666666667,0.5833333333333334
573,33,40,0.8125,0.0,0.1875
574,167,30,0.6666666666666666,0.08333333333333333,0.25
575,12,80,0.40625,0.4375,0.15625
576,33,80,0.0,0.25,0.75
577,194,80,0.125,0.46875,0.40625
578,12,20,0.125,0.875,0.0
579,12,20,0.375,0.625,0.0
580,206,80,0.0,0.78125,0.21875
581,33,80,0.6875,0.25,0.0625
582,227,40,0.6875,0.0,0.3125
583,206,80,0.375,0.3125,0.3125
584,12,80,0.09375,0.5,0.40625
585,12,20,0.375,0.625,0.0
586,206,80,0.03125,0.03125,0.9375
587,12,80,0.4375,0.25,0.3125
588,227,40,0.5,0.3125,0.1875
589,227,40,0.3125,0.375,0.3125
590,167,30,0.5833333333333334,0.3333333333333333,0.08333333333333333
591,194,80,0.15625,0.125,0.71875
592,12,80,0.28125,0.28125,0.4375
593,12,80,0.09375,0.625,0.28125
594,194,80,0.4375,0.4375,0.125
595,33,40,0.1875,0.0,0.8125
596,167,30,0.3333333333333333,0.6666666666666666,0.0
597,227,40,0.625,0.1875,0.1875
598,12,80,0.09375,0.28125,0.625
599,194,80,0.21875,0.78125,0.0
600,227,40,0.4375,0.5625,0.0
601,206,80,0.03125,0.09375,0.875
602,206,80,0.15625,0.0,0.84375
603,227,40,0.875,0.125,0.0
604,12,80,0.34375,0.25,0.40625
605,167,30,0.4166666666666667,0.5833333333333334,0.0
606,194,80,0.25,0.46875,0.28125
607,206,80,0.46875,0.53125,0.0
608,227,40,0.625,0.0,0.375
609,167,60,0.0,0.5,0.5
610,206,80,0.4375,0.25,0.3125
611,194,80,0.625,0.375,0.0
612,194,80,0.40625,0.21875,0.375
613,12,20,0.125,0.625,0.25
614,12,80,0.40625,0.28125,0.3125
615,206,80,0.0,0.375,0.625
616,227,40,0.875,0.0,0.125
617,33,80,0.25,0.1875,0.5625
618,167,30,0.4166666666666667,0.5833333333333334,0.0
619,167,30,0.75,0.08333333333333333,0.16666666666666666
620,227,40,0.5,0.1875,0.3125
621,12,80,0.3125,0.34375,0.34375
622,206,80,0.65625,0.0,0.34375
623,206,80,0.0,0.625,0.375
624,12,80,0.4375,0.40625,0.15625
625,206,80,0.40625,0.59375,0.0
626,12,80,0.5,0.0,0.5
627,33,80,0.25,0.1875,0.5625
628,12,80,0.875,0.125,0.0
629,206,80,0.8125,0.15625,0.03125
630,227,40,0.3125,0.375,0.3125
631,167,30,0.8333333333333334,0.0,0.16666666666666666
632,167,30,0.25,0.16666666666666666,0.5833333333333334
633,12,80,0.25,0.4375,0.3125
634,227,40,0.125,0.5625,0.3125
635,206,80,0.5625,0.34375,0.09375
636,33,80,0.9375,0.03125,0.03125
637,194,80,0.0,0.59375,0.40625
638,227,40,0.4375,0.4375,0.125
639,194,80,0.46875,0.25,0.28125
640,194,80,0.0,0.53125,0.46875
641,206,80,0.09375,0.125,0.78125
642,194,80,0.03125,0.71875,0.25
643,12,80,0.0,0.28125,0.71875
644,194,80,0.125,0.59375,0.28125
645,206,80,0.28125,0.3125,0.40625
646,227,40,0.375,0.1875,0.4375
647,194,80,0.46875,0.25,0.28125
648,33,80,0.6875,0.28125,0.03125
649,206,80,0.34375,0.375,0.28125
650,167,30,0.6666666666666666,0.3333333333333333,0.0
651,33,80,0.9375,0.03125,0.03125
652,33,80,0.46875,0.125,0.40625
653,12,80,0.125,0.84375,0.03125
654,206,80,0.40625,0.21875,0.375
655,227,40,0.0625,0.625,0.3125
656,33,80,0.625,0.0625,0.3125
657,167,30,0.16666666666666666,0.3333333333333333,0.5
658,206,80,0.5625,0.1875,0.25
659,12,80,0.375,0.25,0.375
660,206,80,0.125,0.15625,0.71875
661,194,10,0.25,0.5,0.25
662,12,80,0.5,0.4375,0.0625
663,12,80,0.1875,0.78125,0.03125
664,206,80,0.5625,0.0,0.4375
665,33,80,0.625,0.28125,0.09375
666,194,80,0.0,0.5625,0.4375
667,194,80,0.375,0.625,0.0
668,206,80,0.75,0.0,0.25
669,206,80,0.375,0.625,0.0
670,206,80,0.40625,0.59375,0.0
671,227,40,0.9375,0.0625,0.0
672,12,80,0.0,0.40625,0.59375
673,167,30,0.5833333333333334,0.16666666666666666,0.25
674,33,80,0.09375,0.03125,0.875
675,194,80,0.28125,0.34375,0.375
676,12,20,0.625,0.375,0.0
677,227,40,0.8125,0.0,0.1875
678,167,30,0.5,0.5,0.0
