id,relaxation_step_number,species,L1,L2,L3
5,-1,O,0.5,0.5,0.125
5,-1,O,0.5,0.5,0.625
5,-1,O,0.0,-0.0,0.375
5,-1,O,-0.0,-0.0,0.875
5,-1,O,1.0,0.5,0.375
5,-1,O,1.0,0.5,0.875
5,-1,O,0.5,-0.0,0.375
5,-1,O,0.5,-0.0,0.875
5,-1,O,0.5,0.5,0.375
5,-1,O,0.5,0.5,0.875
6,-1,Ga,0.833333,-0.0,0.958333
6,-1,Al,0.5,-0.0,-0.0
6,-1,Ga,0.666667,0.5,0.166667
6,-1,Al,0.166667,0.5,0.166667
6,-1,Ga,0.5,-0.0,0.375
6,-1,Ga,0.166667,0.0,0.291667
6,-1,Al,-0.0,0.0,0.5
6,-1,Al,0.833333,-0.0,0.333333
6,-1,Al,-0.0,0.5,0.5
6,-1,Ga,0.5,0.5,0.5
6,-1,Al,0.833333,-0.0,0.708333
6,-1,Al,0.5,0.0,0.625
6,-1,Al,0.333333,0.0,0.833333
6,-1,Ga,0.166667,0.0,0.666667
6,-1,Ga,0.333333,0.5,0.833333
6,-1,Al,0.833333,0.5,0.833333
6,-1,O,0.34,0.0,0.085
6,-1,O,0.166667,0.0,0.911667
6,-1,O,0.34,0.48,0.085
6,-1,O,0.82,0.52,0.085
6,-1,O,0.833333,-0.0,0.088333
6,-1,O,0.66,-0.0,0.915
6,-1,O,0.66,0.52,0.915
6,-1,O,0.18,0.48,0.915
6,-1,O,0.673333,-0.0,0.418333
6,-1,O,0.5,0.0,0.245
6,-1,O,0.673333,0.48,0.418333
6,-1,O,0.153333,0.52,0.418333
6,-1,O,0.166667,0.0,0.421667
6,-1,O,0.993333,-0.0,0.248333
6,-1,O,0.993333,0.52,0.248333
6,-1,O,0.513333,0.48,0.248333
6,-1,O,0.006667,0.0,0.751667
6,-1,O,0.833333,-0.0,0.578333
6,-1,O,0.006667,0.48,0.751667
6,-1,O,0.486667,0.52,0.751667
6,-1,O,0.5,-0.0,0.755
6,-1,O,0.326667,0.0,0.581667
6,-1,O,0.326667,0.52,0.581667
6,-1,O,0.846667,0.48,0.581667
7,-1,Ga,0.75,0.25,0.75
7,-1,In,0.25,0.75,0.75
7,-1,In,0.75,0.75,0.25
7,-1,Al,0.75,0.75,0.75
7,-1,In,0.25,0.75,0.25
7,-1,In,0.75,0.25,0.25
7,-1,In,0.25,0.25,0.75
7,-1,In,0.25,0.25,0.25
7,-1,In,0.75,0.466,0.5
7,-1,Ga,0.25,0.966,-0.0
7,-1,In,0.75,0.534,0.0
7,-1,In,0.5,0.75,0.466
7,-1,In,0.0,0.25,0.966
7,-1,In,-0.0,0.75,0.534
7,-1,In,0.466,0.5,0.75
7,-1,In,0.966,-0.0,0.25
7,-1,In,0.534,-0.0,0.75
7,-1,In,0.25,0.534,0.5
7,-1,In,0.75,0.034,0.0
7,-1,In,0.25,0.466,-0.0
7,-1,In,0.5,0.25,0.534
7,-1,In,0.0,0.75,0.034
7,-1,Ga,0.0,0.25,0.466
7,-1,In,0.534,0.5,0.25
7,-1,In,0.034,0.0,0.75
7,-1,In,0.466,0.0,0.25
7,-1,In,0.25,0.034,0.5
7,-1,In,0.5,0.25,0.034
7,-1,In,0.034,0.5,0.25
7,-1,In,0.75,0.966,0.5
7,-1,In,0.5,0.75,0.966
7,-1,In,0.966,0.5,0.75
7,-1,O,0.62,0.391,0.656
7,-1,O,0.38,0.891,0.844
7,-1,O,0.88,0.609,0.156
7,-1,O,0.62,0.609,0.844
7,-1,O,0.656,0.62,0.391
7,-1,O,0.844,0.38,0.891
7,-1,O,0.156,0.88,0.609
7,-1,O,0.844,0.62,0.609
7,-1,O,0.391,0.656,0.62
7,-1,O,0.891,0.844,0.38
7,-1,O,0.609,0.156,0.88
7,-1,O,0.609,0.844,0.62
7,-1,O,0.38,0.609,0.344
7,-1,O,0.62,0.109,0.156
7,-1,O,0.12,0.391,0.844
7,-1,O,0.38,0.391,0.156
7,-1,O,0.344,0.38,0.609
7,-1,O,0.156,0.62,0.109
7,-1,O,0.844,0.12,0.391
7,-1,O,0.156,0.38,0.391
7,-1,O,0.609,0.344,0.38
7,-1,O,0.109,0.156,0.62
7,-1,O,0.391,0.844,0.12
7,-1,O,0.391,0.156,0.38
7,-1,O,0.12,0.891,0.156
7,-1,O,0.88,0.391,0.344
7,-1,O,0.38,0.109,0.656
7,-1,O,0.12,0.109,0.344
7,-1,O,0.156,0.12,0.891
7,-1,O,0.344,0.88,0.391
7,-1,O,0.656,0.38,0.109
7,-1,O,0.344,0.12,0.109
7,-1,O,0.891,0.156,0.12
7,-1,O,0.391,0.344,0.88
7,-1,O,0.109,0.656,0.38
7,-1,O,0.109,0.344,0.12
7,-1,O,0.88,0.109,0.844
7,-1,O,0.12,0.609,0.656
7,-1,O,0.62,0.891,0.344
7,-1,O,0.88,0.891,0.656
7,-1,O,0.844,0.88,0.109
7,-1,O,0.656,0.12,0.609
7,-1,O,0.344,0.62,0.891
7,-1,O,0.656,0.88,0.891
7,-1,O,0.109,0.844,0.88
7,-1,O,0.609,0.656,0.12
7,-1,O,0.891,0.344,0.62
7,-1,O,0.891,0.656,0.88
8,-1,In,0.909,0.0,0.205
8,-1,In,0.091,0.0,0.795
8,-1,In,0.409,0.5,0.205
8,-1,In,0.591,0.5,0.795
8,-1,Al,0.841,0.5,0.686
8,-1,Al,0.159,0.5,0.314
8,-1,Al,0.341,0.0,0.686
8,-1,Al,0.659,0.0,0.314
8,-1,O,0.835,0.0,0.89
8,-1,O,0.165,-0.0,0.11
8,-1,O,0.335,0.5,0.89
8,-1,O,0.665,0.5,0.11
8,-1,O,0.827,0.0,0.437
8,-1,O,0.173,0.0,0.563
8,-1,O,0.327,0.5,0.437
8,-1,O,0.673,0.5,0.563
8,-1,O,0.004,0.5,0.743
8,-1,O,0.996,0.5,0.257
8,-1,O,0.504,0.0,0.743
8,-1,O,0.496,0.0,0.257
9,-1,Al,0.75,0.25,0.75
9,-1,Al,0.25,0.75,0.75
9,-1,In,0.75,0.75,0.25
9,-1,In,0.75,0.75,0.75
9,-1,Al,0.25,0.75,0.25
9,-1,Ga,0.75,0.25,0.25
9,-1,Al,0.25,0.25,0.75
9,-1,Al,0.25,0.25,0.25
9,-1,In,0.75,0.466,0.5
9,-1,Al,0.25,0.966,0.0
9,-1,In,0.75,0.534,0.0
9,-1,Al,0.5,0.75,0.466
9,-1,Al,0.0,0.25,0.966
9,-1,Ga,-0.0,0.75,0.534
9,-1,Ga,0.466,0.5,0.75
9,-1,In,0.966,-0.0,0.25
9,-1,Al,0.534,0.0,0.75
9,-1,In,0.25,0.534,0.5
9,-1,Ga,0.75,0.034,-0.0
9,-1,Ga,0.25,0.466,-0.0
9,-1,In,0.5,0.25,0.534
9,-1,Al,-0.0,0.75,0.034
9,-1,Al,0.0,0.25,0.466
9,-1,Al,0.534,0.5,0.25
9,-1,Al,0.034,0.0,0.75
9,-1,Al,0.466,-0.0,0.25
9,-1,Al,0.25,0.034,0.5
9,-1,Ga,0.5,0.25,0.034
9,-1,Al,0.034,0.5,0.25
9,-1,Al,0.75,0.966,0.5
9,-1,Ga,0.5,0.75,0.966
9,-1,In,0.966,0.5,0.75
9,-1,O,0.62,0.391,0.656
9,-1,O,0.38,0.891,0.844
9,-1,O,0.88,0.609,0.156
9,-1,O,0.62,0.609,0.844
9,-1,O,0.656,0.62,0.391
9,-1,O,0.844,0.38,0.891
9,-1,O,0.156,0.88,0.609
9,-1,O,0.844,0.62,0.609
9,-1,O,0.391,0.656,0.62
9,-1,O,0.891,0.844,0.38
9,-1,O,0.609,0.156,0.88
9,-1,O,0.609,0.844,0.62
9,-1,O,0.38,0.609,0.344
9,-1,O,0.62,0.109,0.156
9,-1,O,0.12,0.391,0.844
9,-1,O,0.38,0.391,0.156
9,-1,O,0.344,0.38,0.609
9,-1,O,0.156,0.62,0.109
9,-1,O,0.844,0.12,0.391
9,-1,O,0.156,0.38,0.391
9,-1,O,0.609,0.344,0.38
9,-1,O,0.109,0.156,0.62
9,-1,O,0.391,0.844,0.12
9,-1,O,0.391,0.156,0.38
9,-1,O,0.12,0.891,0.156
9,-1,O,0.88,0.391,0.344
9,-1,O,0.38,0.109,0.656
9,-1,O,0.12,0.109,0.344
9,-1,O,0.156,0.12,0.891
9,-1,O,0.344,0.88,0.391
9,-1,O,0.656,0.38,0.109
9,-1,O,0.344,0.12,0.109
9,-1,O,0.891,0.156,0.12
9,-1,O,0.391,0.344,0.88
9,-1,O,0.109,0.656,0.38
9,-1,O,0.109,0.344,0.12
9,-1,O,0.88,0.109,0.844
9,-1,O,0.12,0.609,0.656
9,-1,O,0.62,0.891,0.344
9,-1,O,0.88,0.891,0.656
9,-1,O,0.844,0.88,0.109
9,-1,O,0.656,0.12,0.609
9,-1,O,0.344,0.62,0.891
9,-1,O,0.656,0.88,0.891
9,-1,O,0.109,0.844,0.88
9,-1,O,0.609,0.656,0.12
9,-1,O,0.891,0.344,0.62
9,-1,O,0.891,0.656,0.88
10,-1,Ga,-0.0,0.0,0.25
10,-1,Al,0.0,-0.0,0.75
10,-1,Ga,1.0,0.5,0.25
10,-1,Ga,1.0,0.5,0.75
10,-1,Ga,0.5,-0.0,0.25
10,-1,Ga,0.5,0.0,0.75
10,-1,Ga,0.5,0.5,0.25
10,-1,Al,0.5,0.5,0.75
10,-1,Ga,0.0,0.0,0.0
10,-1,Ga,0.0,-0.0,0.5
10,-1,Ga,1.0,0.5,-0.0
10,-1,Al,1.0,0.5,0.5
10,-1,Ga,0.5,-0.0,-0.0
10,-1,Al,0.5,0.0,0.5
10,-1,Al,0.5,0.5,-0.0
10,-1,Ga,0.5,0.5,0.5
10,-1,Ga,0.16665,0.3333,0.125
10,-1,Al,0.16665,0.3333,0.625
10,-1,Al,0.16665,0.8333,0.125
10,-1,Al,0.16665,0.8333,0.625
10,-1,Al,0.66665,0.3333,0.125
10,-1,Al,0.66665,0.3333,0.625
10,-1,Ga,0.66665,0.8333,0.125
10,-1,Ga,0.66665,0.8333,0.625
10,-1,Al,0.33335,0.1667,0.375
10,-1,Ga,0.33335,0.1667,0.875
10,-1,Al,0.33335,0.6667,0.375
10,-1,Ga,0.33335,0.6667,0.875
10,-1,Al,0.83335,0.1667,0.375
10,-1,Ga,0.83335,0.1667,0.875
10,-1,Ga,0.83335,0.6667,0.375
10,-1,Ga,0.83335,0.6667,0.875
10,-1,O,0.16665,0.3333,0.20695
10,-1,O,0.16665,0.3333,0.70695
10,-1,O,0.16665,0.8333,0.20695
10,-1,O,0.16665,0.8333,0.70695
10,-1,O,0.66665,0.3333,0.20695
10,-1,O,0.66665,0.3333,0.70695
10,-1,O,0.66665,0.8333,0.20695
10,-1,O,0.66665,0.8333,0.70695
10,-1,O,0.33335,0.1667,0.29305
10,-1,O,0.33335,0.1667,0.79305
10,-1,O,0.33335,0.6667,0.29305
10,-1,O,0.33335,0.6667,0.79305
10,-1,O,0.83335,0.1667,0.29305
10,-1,O,0.83335,0.1667,0.79305
10,-1,O,0.83335,0.6667,0.29305
10,-1,O,0.83335,0.6667,0.79305
10,-1,O,0.33335,0.1667,0.45695
10,-1,O,0.33335,0.1667,0.95695
10,-1,O,0.33335,0.6667,0.45695
10,-1,O,0.33335,0.6667,0.95695
10,-1,O,0.83335,0.1667,0.45695
10,-1,O,0.83335,0.1667,0.95695
10,-1,O,0.83335,0.6667,0.45695
10,-1,O,0.83335,0.6667,0.95695
10,-1,O,0.16665,0.3333,0.04305
10,-1,O,0.16665,0.3333,0.54305
10,-1,O,0.16665,0.8333,0.04305
10,-1,O,0.16665,0.8333,0.54305
10,-1,O,0.66665,0.3333,0.04305
10,-1,O,0.66665,0.3333,0.54305
10,-1,O,0.66665,0.8333,0.04305
10,-1,O,0.66665,0.8333,0.54305
10,-1,O,0.0,0.0,0.125
10,-1,O,0.0,0.0,0.625
10,-1,O,1.0,0.5,0.125
10,-1,O,1.0,0.5,0.625
10,-1,O,0.5,-0.0,0.125
10,-1,O,0.5,-0.0,0.625
10,-1,O,0.5,0.5,0.125
10,-1,O,0.5,0.5,0.625
10,-1,O,0.0,0.0,0.375
10,-1,O,-0.0,0.0,0.875
10,-1,O,1.0,0.5,0.375
10,-1,O,1.0,0.5,0.875
10,-1,O,0.5,-0.0,0.375
10,-1,O,0.5,0.0,0.875
10,-1,O,0.5,0.5,0.375
10,-1,O,0.5,0.5,0.875
11,-1,Ga,-0.0,-0.0,0.145
11,-1,Al,0.5,0.0,0.145
11,-1,Ga,-0.0,0.0,0.645
11,-1,Al,0.5,-0.0,0.645
11,-1,Ga,0.0,0.0,0.855
11,-1,Al,0.5,0.0,0.855
11,-1,Ga,-0.0,-0.0,0.355
11,-1,Al,0.5,0.0,0.355
11,-1,Al,0.333333,0.333333,0.478333
11,-1,Al,0.833333,0.333333,0.478333
11,-1,Al,0.333333,0.333333,0.978333
11,-1,Al,0.833333,0.333333,0.978333
11,-1,Ga,0.333333,0.333333,0.188333
11,-1,Al,0.833333,0.333333,0.188333
11,-1,Ga,0.333333,0.333333,0.688333
11,-1,Al,0.833333,0.333333,0.688333
11,-1,Ga,0.166667,0.666667,0.811667
11,-1,Al,0.666667,0.666667,0.811667
11,-1,Ga,0.166667,0.666667,0.311667
11,-1,Al,0.666667,0.666667,0.311667
11,-1,Ga,0.166667,0.666667,0.521667
11,-1,Al,0.666667,0.666667,0.521667
11,-1,Ga,0.166667,0.666667,0.021667
11,-1,Al,0.666667,0.666667,0.021667
11,-1,O,0.1515,0.0,0.25
11,-1,O,0.6515,-0.0,0.25
11,-1,O,0.3485,0.697,0.25
11,-1,O,0.8485,0.697,0.25
11,-1,O,1.0,0.303,0.25
11,-1,O,0.5,0.303,0.25
11,-1,O,0.1515,0.303,0.75
11,-1,O,0.6515,0.303,0.75
11,-1,O,-0.0,0.697,0.75
11,-1,O,0.5,0.697,0.75
11,-1,O,0.3485,0.0,0.75
11,-1,O,0.8485,0.0,0.75
11,-1,O,0.484833,0.333333,0.583333
11,-1,O,0.984833,0.333333,0.583333
11,-1,O,0.181833,0.030333,0.583333
11,-1,O,0.681833,0.030333,0.583333
11,-1,O,0.333333,0.636333,0.583333
11,-1,O,0.833333,0.636333,0.583333
11,-1,O,0.484833,0.636333,0.083333
11,-1,O,0.984833,0.636333,0.083333
11,-1,O,0.333333,0.030333,0.083333
11,-1,O,0.833333,0.030333,0.083333
11,-1,O,0.181833,0.333333,0.083333
11,-1,O,0.681833,0.333333,0.083333
11,-1,O,0.318167,0.666667,0.916667
11,-1,O,0.818167,0.666667,0.916667
11,-1,O,0.015167,0.363667,0.916667
11,-1,O,0.515167,0.363667,0.916667
11,-1,O,0.166667,0.969667,0.916667
11,-1,O,0.666667,0.969667,0.916667
11,-1,O,0.318167,0.969667,0.416667
11,-1,O,0.818167,0.969667,0.416667
11,-1,O,0.166667,0.363667,0.416667
11,-1,O,0.666667,0.363667,0.416667
11,-1,O,0.015167,0.666667,0.416667
11,-1,O,0.515167,0.666667,0.416667
12,-1,Ga,0.0,-0.0,0.25
12,-1,Ga,0.0,0.0,0.75
12,-1,Al,1.0,0.5,0.25
12,-1,Al,1.0,0.5,0.75
